2025-04-05 20:14:39,548 - __main__ - INFO - Error sending request to cache-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:39,583 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a950>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,585 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107818a00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,694 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891360>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,695 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107892d10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,799 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078916f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,800 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107892260>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,970 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107818b20>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,016 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a7a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,116 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781b940>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,125 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890cd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,223 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107818d00>: Failed to establish a new connection: [Errno 61] Connection refused'))
